,City,Olympics Year,Sport,Discipline,Event,Athlete,Gender,Country,Event_gender,Medal,combo,host country,GDP Year,GDP (constant 2010 US$)
0,Athens,2004,Aquatics,Diving,3m springboard,"DESPATIE, Alexandre",Men,Canada,M,Silver,Canada2004,Greece,2004.0,1480000000000.0
1,Athens,2004,Aquatics,Diving,3m springboard,"SAUTIN, Dmitry",Men,Russia,M,Bronze,Russia2004,Greece,2004.0,1200000000000.0
2,Athens,2004,Aquatics,Diving,3m springboard,"PAKHALINA, Ioulia",Women,Russia,W,Bronze,Russia2004,Greece,2004.0,1200000000000.0
3,Athens,2004,Aquatics,Diving,synchronized diving 3m springboard,"NEWBERY, Robert",Men,Australia,M,Bronze,Australia2004,Greece,2004.0,964000000000.0
4,Athens,2004,Aquatics,Diving,synchronized diving 3m springboard,"BIMIS, Thomas",Men,Greece,M,Gold,Greece2004,Greece,2004.0,303000000000.0
5,Athens,2004,Aquatics,Diving,synchronized diving 3m springboard,"ILYINA, Vera",Women,Russia,W,Silver,Russia2004,Greece,2004.0,1200000000000.0
6,Athens,2004,Aquatics,Diving,synchronized diving 10m platform,"LI, Ting",Women,China,W,Gold,China2004,Greece,2004.0,3200000000000.0
7,Athens,2004,Aquatics,Diving,synchronized diving 3m springboard,"LASHKO, Irina",Women,Australia,W,Bronze,Australia2004,Greece,2004.0,964000000000.0
8,Athens,2004,Aquatics,Diving,10m platform,"LAO, Lishi",Women,China,W,Silver,China2004,Greece,2004.0,3200000000000.0
9,Athens,2004,Aquatics,Diving,synchronized diving 3m springboard,"GUO, Jingjing",Women,China,W,Gold,China2004,Greece,2004.0,3200000000000.0
10,Athens,2004,Aquatics,Diving,synchronized diving 10m platform,"HARTLEY, Blythe",Women,Canada,W,Bronze,Canada2004,Greece,2004.0,1480000000000.0
11,Athens,2004,Aquatics,Diving,10m platform,"HELM, Mathew",Men,Australia,M,Silver,Australia2004,Greece,2004.0,964000000000.0
12,Athens,2004,Aquatics,Diving,synchronized diving 10m platform,"HELM, Mathew",Men,Australia,M,Bronze,Australia2004,Greece,2004.0,964000000000.0
13,Athens,2004,Aquatics,Diving,synchronized diving 10m platform,"HEYMANS, Emilie",Women,Canada,W,Bronze,Canada2004,Greece,2004.0,1480000000000.0
14,Athens,2004,Aquatics,Diving,3m springboard,"PENG, Bo",Men,China,M,Gold,China2004,Greece,2004.0,3200000000000.0
